Well,Sample_Name,Group,Target_Name,Task,Technical_Replicate,Ct
A1,Control_1,Control,GAPDH,UNKNOWN,1,19.08
A2,Control_1,Control,GAPDH,UNKNOWN,2,18.74
A3,Control_1,Control,GAPDH,UNKNOWN,3,19.19
A4,Control_1,Control,BRCA1,UNKNOWN,1,25.24
A5,Control_1,Control,BRCA1,UNKNOWN,2,24.51
A6,Control_1,Control,BRCA1,UNKNOWN,3,24.67
A7,Control_2,Control,GAPDH,UNKNOWN,1,19.03
A8,Control_2,Control,GAPDH,UNKNOWN,2,18.92
A9,Control_2,Control,GAPDH,UNKNOWN,3,19.0
A10,Control_2,Control,BRCA1,UNKNOWN,1,24.79
A11,Control_2,Control,BRCA1,UNKNOWN,2,25.22
A12,Control_2,Control,BRCA1,UNKNOWN,3,25.19
B1,Control_3,Control,GAPDH,UNKNOWN,1,19.02
B2,Control_3,Control,GAPDH,UNKNOWN,2,19.28
B3,Control_3,Control,GAPDH,UNKNOWN,3,19.12
B4,Control_3,Control,BRCA1,UNKNOWN,1,24.79
B5,Control_3,Control,BRCA1,UNKNOWN,2,26.89
B6,Control_3,Control,BRCA1,UNKNOWN,3,24.76
B7,Olaparib_1,Olaparib,GAPDH,UNKNOWN,1,19.32
B8,Olaparib_1,Olaparib,GAPDH,UNKNOWN,2,19.09
B9,Olaparib_1,Olaparib,GAPDH,UNKNOWN,3,19.05
B10,Olaparib_1,Olaparib,BRCA1,UNKNOWN,1,27.33
B11,Olaparib_1,Olaparib,BRCA1,UNKNOWN,2,27.81
B12,Olaparib_1,Olaparib,BRCA1,UNKNOWN,3,27.46
C1,Olaparib_2,Olaparib,GAPDH,UNKNOWN,1,18.99
C2,Olaparib_2,Olaparib,GAPDH,UNKNOWN,2,19.01
C3,Olaparib_2,Olaparib,GAPDH,UNKNOWN,3,19.23
C4,Olaparib_2,Olaparib,BRCA1,UNKNOWN,1,
C5,Olaparib_2,Olaparib,BRCA1,UNKNOWN,2,27.6
C6,Olaparib_2,Olaparib,BRCA1,UNKNOWN,3,27.61
C7,Olaparib_3,Olaparib,GAPDH,UNKNOWN,1,19.64
C8,Olaparib_3,Olaparib,GAPDH,UNKNOWN,2,19.0
C9,Olaparib_3,Olaparib,GAPDH,UNKNOWN,3,18.97
C10,Olaparib_3,Olaparib,BRCA1,UNKNOWN,1,27.3
C11,Olaparib_3,Olaparib,BRCA1,UNKNOWN,2,27.65
C12,Olaparib_3,Olaparib,BRCA1,UNKNOWN,3,27.78
D1,NTC,NTC,GAPDH,NTC,1,
D2,NTC,NTC,BRCA1,NTC,1,29.8
